,DaysToBloom,MedianLeafAngle,LeafAngleSDV,PoorStand?,PaniclesPerPlot,PanicleGrainWeight,EstimatedPlotYield,FlagLeafLength,FlagLeafWidth,ExtantLeafNumber,PlantHeight,ThirdLeafLength,ThirdLeafWidth,TillersPerPlant,StemDiameterLower,StemDiameterUpper,RachisLength,RachisDiameterLower,RachisDiameterUpper,PrimaryBranchNo,BranchInternodeLength
PI_533939,66.0,49.2,3.16,N,12.0,55.6,667.2,31.5,5.1,11.0,162.0,44.5,6.5,1.0,18.77,10.6,16.83,6.82,1.81,47.33,0.77
PI_564163,63.0,31.8,7.44,N,11.0,72.1,793.0999999999999,30.8,4.7,12.0,99.0,,,0.33,18.82,8.23,25.0,5.49,2.13,57.33,1.2
PI_533964,78.0,48.5,4.86,Y,3.0,,,,,16.0,80.0,,,0.0,32.49,12.12,14.97,8.2,2.99,63.67,2.5
PI_656062,78.0,32.6,3.86,N,16.0,32.0,512.0,,,15.0,268.0,,,0.33,20.23,6.95,20.73,4.8,1.28,58.33,1.27
PI_576428,73.0,50.5,6.05,N,11.0,16.1,177.10000000000002,35.0,6.7,14.0,90.0,,,0.67,26.36,11.57,10.23,7.1,3.79,54.67,1.73
PI_564163,65.0,43.5,3.66,N,11.0,79.5,874.5,28.5,4.3,13.0,100.0,80.2,8.6,0.0,22.94,9.74,25.27,6.37,2.6,55.0,1.83
PI_607931,74.0,31.5,3.88,N,11.0,31.2,343.2,42.0,5.3,14.0,78.0,,,0.33,25.99,8.7,27.43,6.1,2.5300000000000002,45.0,1.5
PI_564163,67.0,42.0,8.85,N,8.0,88.3,706.4,39.3,6.0,12.0,99.0,75.2,8.5,0.67,28.3,11.5,24.23,7.61,3.24,58.0,1.53
PI_656110,69.0,43.2,5.58,N,16.0,10.1,161.6,48.2,4.2,14.0,70.0,73.9,7.6,2.0,22.52,8.9,11.47,5.79,2.67,57.67,1.03
PI_533927,69.0,42.4,3.57,N,13.0,5.1,66.3,45.0,4.0,12.0,171.0,,,0.67,23.19,8.91,20.17,6.07,3.1,51.67,2.3
PI_597976,63.0,48.4,5.07,N,21.0,28.4,596.4,50.1,3.0,9.0,180.0,,,1.0,17.98,8.3,27.97,4.16,1.19,44.0,0.83
PI_656020,62.0,38.6,8.94,N,14.0,30.6,428.4,37.5,3.9,12.0,99.0,,,0.0,21.98,10.46,17.8,6.46,2.29,47.0,1.63
PI_656081,74.0,46.6,,Y,,,,46.5,6.7,11.0,62.0,,,2.0,29.02,14.25,21.3,6.05,1.72,51.0,3.5
PI_533924,69.0,41.0,10.12,N,17.0,11.2,190.39999999999998,40.6,5.6,10.0,69.0,50.0,8.7,1.33,31.74,14.12,18.3,7.69,2.91,49.67,2.3
PI_533800,,26.6,3.65,N,12.0,43.8,525.5999999999999,,,,,,,0.67,28.4,11.22,17.97,6.7,1.6800000000000002,62.67,1.6
PI_534105,63.0,67.7,13.67,N,26.0,34.6,899.6,55.9,5.7,14.0,82.0,78.0,7.3,3.0,20.81,10.47,16.63,6.69,2.92,63.33,0.97
PI_656102,64.0,48.2,9.1,N,20.0,40.5,810.0,41.2,5.6,12.0,151.0,49.0,5.7,1.67,18.59,11.74,15.03,6.49,2.16,27.67,1.63
PI_655994,62.0,43.8,1.98,N,16.0,20.6,329.6,29.5,5.6,12.0,240.0,,,0.0,15.46,7.35,21.13,5.24,2.05,50.0,2.77
PI_329435,76.0,28.2,2.88,N,5.0,16.7,83.5,61.8,6.5,13.0,78.0,86.0,8.3,0.33,29.58,10.71,22.5,6.58,2.38,45.67,2.37
PI_629059,62.0,44.1,5.13,N,13.0,44.5,578.5,45.4,4.9,12.0,95.0,66.0,5.8,1.0,24.93,10.97,24.73,7.55,2.35,59.33,1.4
PI_534132,64.0,31.9,2.4,N,12.0,34.1,409.20000000000005,53.0,6.0,12.0,72.0,72.0,8.5,0.0,23.53,11.01,19.53,6.86,3.0,48.67,1.83
PI_534097,63.0,47.900000000000006,5.83,N,16.0,28.6,457.6,39.1,4.2,12.0,75.0,67.0,6.0,0.33,23.67,8.49,13.8,5.45,3.18,49.0,2.9
PI_576390,63.0,44.8,3.83,N,20.0,16.0,320.0,38.7,5.2,10.0,96.0,52.5,7.0,0.33,18.08,10.73,18.7,7.33,2.72,76.0,1.83
PI_564164,69.0,33.8,6.0,N,13.0,35.6,462.8,31.0,5.2,15.0,91.0,55.0,5.2,0.0,19.3,7.08,19.73,4.87,2.22,52.67,1.73
PI_656010,63.0,56.7,9.32,N,12.0,37.2,446.4,46.0,5.7,13.0,80.0,60.5,7.5,0.0,25.68,10.74,21.57,6.2,2.79,87.67,1.33
PI_656059,69.0,32.0,7.75,N,14.0,24.4,341.6,37.0,3.8,13.0,112.0,72.5,6.8,0.0,22.28,10.6,24.43,6.48,2.05,71.67,1.5
PI_576333,66.0,39.2,7.4,N,12.0,31.8,381.6,33.5,4.5,13.0,83.0,57.0,7.4,0.33,22.02,9.44,30.33,6.48,1.81,57.0,1.97
PI_597960,69.0,64.85,4.55,Y,9.0,,,45.5,6.5,13.0,83.0,66.0,7.0,2.5,22.67,10.75,20.85,6.35,1.5,53.0,1.2
PI_576399,63.0,48.1,5.69,N,18.0,28.7,516.6,25.0,2.3,10.0,170.0,51.5,6.0,0.33,19.42,9.9,18.23,5.34,2.55,39.33,2.37
PI_152651,58.0,71.2,2.33,N,30.0,26.1,783.0,45.7,6.4,9.0,141.0,46.0,6.5,1.67,17.49,7.89,12.57,4.36,1.47,37.0,1.33
PI_641874,64.0,48.3,6.17,N,14.0,37.8,529.1999999999999,38.8,4.8,11.0,70.0,59.5,7.0,0.33,25.07,12.11,14.93,9.24,2.97,53.0,1.37
PI_534037,62.0,65.8,6.45,N,23.0,12.7,292.09999999999997,42.6,3.5,12.0,120.0,,,0.67,13.24,7.4,6.43,4.86,3.3,40.33,1.1
PI_565121,79.0,52.5,5.11,Y,6.0,,,36.4,5.8,15.0,111.0,,,0.67,27.07,12.54,17.77,9.35,3.38,63.67,2.5
PI_576426,76.0,34.9,5.87,N,7.0,17.0,119.0,40.9,4.8,14.0,92.0,,,0.0,26.92,9.7,20.4,6.58,2.72,63.33,2.03
PI_533776,72.0,49.2,7.85,N,11.0,15.7,172.7,39.4,3.7,11.0,111.0,,,1.0,26.0,13.25,25.57,10.55,3.54,119.33,1.43
PI_34911,76.0,,,Y,6.0,,,60.7,8.0,15.0,139.0,71.1,8.3,5.0,35.09,11.3,14.2,8.02,3.4,69.0,1.4
PI_656114,63.0,36.2,4.5,Y,12.0,,,40.0,7.6,11.0,71.0,,,2.0,38.87,15.59,23.6,7.21,3.26,66.0,2.95
PI_533970,66.0,45.5,,Y,10.0,53.0,530.0,33.3,5.5,12.0,70.0,55.9,8.1,4.0,30.72,12.8,8.6,9.01,5.95,51.0,1.3
PI_534009,78.0,38.1,6.07,N,14.0,7.8,109.2,41.1,5.2,14.0,90.0,62.0,7.4,0.67,30.65,11.26,21.6,7.9,2.39,122.0,1.9
PI_601816,75.0,31.5,7.01,N,10.0,22.6,226.0,52.9,9.0,14.0,182.0,,,0.67,23.09,8.27,22.47,5.23,0.94,54.67,1.1
PI_533901,69.0,67.0,4.59,N,18.0,36.7,660.6,39.0,4.7,13.0,90.0,,,2.67,21.49,9.38,22.53,6.46,1.31,35.33,2.8
PI_542718,61.0,44.4,0.5,Y,10.0,52.4,524.0,33.4,6.6,12.0,110.0,,,0.0,22.89,13.94,19.73,7.39,2.04,97.33,1.57
PI_564163,65.0,44.6,9.3,N,16.0,77.2,1235.2,27.2,3.6,13.0,102.0,,,0.0,24.54,10.63,25.83,7.17,3.05,56.33,1.57
PI_656041,76.0,44.3,1.59,Y,8.0,42.8,342.4,,,,,,,1.67,22.5,9.68,15.0,6.2,1.04,63.33,1.07
PI_534138,76.0,24.25,0.55,Y,4.0,,,17.8,3.2,,,54.0,5.0,1.5,26.41,10.3,24.5,6.77,1.75,80.0,1.15
PI_585295,72.0,34.1,5.79,N,10.0,35.6,356.0,35.4,8.7,13.0,75.0,67.0,7.8,0.67,24.62,10.25,27.83,6.96,2.27,75.67,1.9
PI_564163,59.0,41.7,5.74,N,14.0,46.5,651.0,43.5,4.5,9.0,88.0,75.0,6.5,0.0,19.91,8.96,25.63,5.51,2.16,58.67,1.3
PI_656051,77.0,24.0,2.97,N,10.0,16.7,167.0,52.4,8.3,15.0,140.0,70.0,9.0,0.0,28.32,13.01,22.87,6.9,2.27,68.33,1.27
PI_533902,74.0,34.1,3.97,N,14.0,1.3,18.2,59.0,7.5,13.0,79.0,76.0,7.5,0.33,24.57,9.42,28.5,5.5,2.25,51.33,1.3
PI_534137,65.0,50.2,8.67,N,18.0,23.0,414.0,32.5,5.6,12.0,120.0,63.5,8.5,2.33,20.44,9.42,18.43,5.83,2.68,35.67,2.23
PI_533856,74.0,26.8,2.67,N,11.0,44.7,491.70000000000005,42.4,5.8,14.0,88.0,71.0,8.0,0.33,20.43,11.46,17.7,7.32,2.49,76.67,1.23
PI_656078,66.0,41.0,10.09,N,11.0,16.1,177.10000000000002,49.0,5.5,11.0,72.0,60.5,7.5,0.0,24.86,10.68,27.23,8.3,3.15,68.67,1.53
PI_533961,59.0,45.6,5.29,N,14.0,49.8,697.2,38.5,4.7,12.0,85.0,59.5,6.5,0.33,23.82,9.99,9.77,8.49,6.53,58.0,1.27
PI_656028,67.0,48.8,5.46,N,27.0,29.7,801.9,30.5,6.7,16.0,290.0,46.0,7.5,1.0,19.84,8.41,18.47,5.71,3.01,67.0,1.33
PI_576380,66.0,42.3,4.76,N,8.0,55.0,440.0,34.5,7.5,16.0,123.0,71.0,8.0,0.0,28.21,12.44,13.6,7.69,4.46,67.0,1.63
PI_655972,68.0,43.5,8.2,N,13.0,35.2,457.6,31.0,4.6,15.0,189.0,56.0,7.0,0.0,19.92,7.94,26.83,5.64,2.06,58.67,1.33
PI_656070,71.0,40.1,9.77,N,16.0,31.1,497.6,52.0,6.6,13.0,50.0,82.5,8.3,0.33,24.07,9.49,14.63,6.04,2.79,63.0,1.5
PI_533760,66.0,39.0,8.95,N,9.0,36.0,324.0,41.9,6.5,14.0,80.0,55.5,6.8,0.67,24.8,12.09,12.23,6.95,3.68,44.0,1.27
PI_533761,75.0,40.7,5.41,N,15.0,17.7,265.5,47.5,7.0,15.0,101.0,77.5,9.0,0.33,27.07,10.07,22.0,7.03,2.27,60.67,2.4
PI_656013,65.0,44.3,10.97,N,9.0,37.2,334.8,34.0,7.0,13.0,238.0,,,0.0,19.07,11.7,11.17,8.75,3.77,69.0,1.13
PI_655997,73.0,39.0,7.18,N,9.0,45.9,413.1,35.0,4.0,12.0,72.0,,,1.0,20.38,8.78,16.4,4.54,1.45,45.33,1.5
PI_576375,73.0,42.0,7.89,N,10.0,56.3,563.0,47.0,5.1,13.0,106.0,,,0.67,25.52,11.42,24.53,6.85,3.05,72.33,2.43
PI_574455,78.0,31.5,2.86,N,5.0,31.2,156.0,39.2,5.9,14.0,72.0,,,0.0,29.25,10.34,27.4,6.48,1.46,63.0,1.73
PI_533838,54.0,35.6,10.17,N,11.0,33.4,367.4,47.0,4.7,7.0,70.0,59.4,8.4,0.67,23.55,9.64,6.87,6.24,4.18,35.0,3.1
PI_534104,68.0,48.3,7.0,N,12.0,50.8,609.5999999999999,44.6,6.8,13.0,79.0,61.1,9.0,0.0,21.76,11.12,18.1,7.1,2.94,65.67,1.0
PI_656030,49.0,32.5,5.57,N,12.0,21.6,259.20000000000005,37.5,4.6,6.0,78.0,57.6,4.0,0.0,12.2,9.52,13.87,6.54,1.33,44.67,1.17
PI_595720,61.0,34.6,5.3,N,16.0,23.3,372.8,38.5,4.2,12.0,70.0,56.2,6.9,0.0,21.6,11.11,23.2,8.42,1.66,60.33,0.97
PI_656060,62.0,45.0,6.52,N,12.0,27.4,328.79999999999995,37.6,4.2,11.0,85.0,,,0.0,20.16,9.77,16.33,5.82,2.89,54.0,1.47
PI_533980,73.0,46.6,5.39,N,14.0,29.3,410.2,34.5,5.8,12.0,62.0,,,1.33,25.42,9.0,19.97,5.83,1.77,60.67,1.9300000000000002
PI_656100,74.0,38.3,4.6,Y,16.0,,,55.5,7.0,10.0,52.0,,,2.0,29.01,14.19,18.9,10.75,1.6,107.0,1.2
PI_576352,63.0,42.1,13.67,Y,7.0,,,27.2,4.0,14.0,78.0,,,0.67,24.26,11.05,25.0,8.28,3.08,50.33,1.43
PI_655975,71.0,38.9,6.82,N,7.0,66.7,466.9,54.3,5.0,,,,,0.67,27.91,12.12,18.57,7.29,2.17,41.67,2.1
PI_656044,75.0,38.4,8.7,Y,3.0,44.1,132.3,,,,,,,0.0,30.79,14.36,21.13,8.68,2.83,74.33,2.17
PI_656014,66.0,47.8,13.21,N,21.0,15.4,323.40000000000003,51.0,7.6,12.0,138.0,67.2,6.4,2.33,15.04,6.05,29.07,4.0,1.29,84.0,2.3
PI_656006,72.0,35.9,6.18,N,17.0,56.2,955.4000000000001,48.0,6.0,11.0,69.0,74.7,8.6,2.33,31.24,10.24,26.47,7.11,1.84,53.67,2.0
PI_597965,60.0,75.2,1.19,N,12.0,58.1,697.2,43.0,6.3,11.0,70.0,56.8,6.2,2.0,27.5,13.73,14.1,10.6,4.04,68.67,2.23
PI_533863,63.0,70.0,7.4,N,20.0,45.9,918.0,35.0,5.0,11.0,130.0,61.4,6.0,2.33,22.61,10.23,24.33,5.78,1.37,40.67,2.43
PI_564163,60.0,36.7,1.58,N,19.0,,,34.6,4.6,12.0,92.0,73.8,7.7,0.0,21.44,10.55,27.77,6.87,2.54,60.67,2.07
PI_533976,63.0,58.0,2.24,N,24.0,49.5,1188.0,31.0,5.1,11.0,75.0,67.4,7.8,0.67,24.21,12.19,23.7,7.69,2.35,53.67,1.87
PI_656019,53.0,67.0,3.88,N,21.0,41.0,861.0,54.5,5.7,12.0,135.0,75.2,7.7,0.67,22.35,10.53,24.47,7.64,1.98,44.33,1.83
PI_534132,63.0,40.150000000000006,2.61,N,11.0,41.8,459.79999999999995,44.5,6.1,11.0,75.0,67.7,7.7,0.0,21.39,14.46,17.5,9.11,4.24,47.33,2.9
PI_656120,63.0,59.05,0.05,Y,6.0,23.4,140.39999999999998,46.0,7.2,11.0,75.0,66.0,8.2,1.0,31.24,13.63,12.33,9.07,5.2,42.33,3.27
PI_534116,62.0,43.5,3.21,N,32.0,20.6,659.2,42.6,4.5,11.0,102.0,60.9,6.4,2.67,21.47,7.73,25.4,4.3,2.01,59.67,4.13
PI_655972,63.0,47.7,3.87,N,19.0,42.4,805.6,30.0,4.4,13.0,200.0,52.6,6.9,0.0,20.61,8.82,32.93,6.28,2.05,70.0,1.8
PI_656034,64.0,47.7,6.39,N,12.0,63.2,758.4000000000001,43.0,6.5,14.0,123.0,82.3,9.7,0.0,24.72,10.33,22.7,7.25,2.95,56.67,1.73
PI_656119,60.0,62.5,4.88,N,12.0,25.0,300.0,45.0,5.0,11.0,102.0,55.7,6.9,0.67,17.46,9.25,28.67,6.44,2.09,74.33,2.27
PI_576333,64.0,29.7,3.47,N,11.0,52.9,581.9,40.0,5.2,12.0,72.0,58.9,6.9,0.33,23.03,11.31,28.8,7.43,1.96,52.33,1.9300000000000002
PI_655977,63.0,45.4,4.03,N,11.0,59.4,653.4,30.0,5.8,11.0,73.0,63.4,7.8,0.67,26.34,11.68,19.13,8.16,2.6,71.33,2.87
PI_598069,79.0,22.1,6.85,N,35.0,2.9,101.5,,,13.0,242.0,53.2,5.3,4.0,14.06,6.11,14.17,3.46,2.18,99.67,2.5
PI_656116,50.0,50.1,12.85,N,31.0,8.7,269.7,35.0,2.6,7.0,87.0,68.0,6.0,2.67,18.47,5.47,23.0,5.32,1.88,74.0,2.27
PI_597966,60.0,38.4,7.14,N,16.0,49.4,790.4,41.0,5.5,10.0,83.0,58.5,7.0,3.0,22.97,13.31,9.17,11.73,8.52,61.67,2.03
PI_533866,67.0,50.6,9.88,N,13.0,26.9,349.7,38.8,5.5,12.0,98.0,76.5,7.5,2.0,25.55,11.5,29.9,7.63,2.68,82.33,1.63
PI_597958,66.0,32.1,3.33,N,15.0,26.0,390.0,36.4,6.1,11.0,93.0,58.5,8.0,1.0,25.87,12.54,24.6,7.41,2.24,59.67,3.43
PI_534047,51.0,57.6,3.66,N,20.0,37.3,746.0,34.4,3.8,7.0,81.0,45.0,5.0,1.0,19.94,9.51,29.7,7.44,2.34,45.67,2.0
PI_534104,62.0,40.1,3.96,N,15.0,49.2,738.0,39.0,6.3,12.0,77.0,68.0,9.0,1.0,22.09,11.04,21.0,8.85,3.61,76.67,1.53
PI_564163,59.0,33.1,3.68,N,11.0,40.8,448.79999999999995,49.1,6.2,11.0,102.0,66.0,6.5,0.67,22.18,12.69,27.4,8.67,2.41,60.33,3.0
PI_656093,66.0,70.0,4.78,N,18.0,20.2,363.6,56.0,4.3,10.0,123.0,79.0,6.4,2.0,26.14,8.76,21.73,5.29,2.72,56.33,1.9
PI_595745,59.0,70.2,7.96,N,16.0,31.8,508.8,54.0,3.9,8.0,149.0,74.5,6.6,0.67,20.54,11.29,30.03,8.29,2.5300000000000002,127.0,1.77
PI_656111,66.0,58.6,9.89,N,31.0,35.7,1106.7,41.5,4.2,11.0,148.0,80.5,6.8,3.0,19.86,8.62,16.6,6.18,3.45,71.0,1.07
PI_656037,67.0,32.8,4.65,N,11.0,73.1,804.0999999999999,47.8,6.3,13.0,142.0,63.0,8.8,0.0,20.01,9.72,20.57,6.39,1.84,47.0,1.0
PI_533769,56.0,33.0,5.57,N,23.0,33.1,761.3,49.5,5.5,10.0,59.0,69.0,7.0,3.33,22.64,12.23,21.1,8.41,2.22,56.0,2.37
PI_564163,59.0,40.3,6.16,N,20.0,26.8,536.0,31.8,4.6,7.0,103.0,34.0,6.2,1.0,23.01,11.01,29.57,7.09,1.91,56.33,1.9
PI_656057,77.0,38.5,,Y,6.0,,,40.9,6.2,15.0,108.0,59.0,9.0,5.0,29.05,11.99,19.0,9.69,4.43,44.0,1.9
PI_595699,64.0,45.35,1.25,Y,10.0,,,43.0,5.0,10.0,79.0,75.5,7.8,1.0,25.36,12.32,21.8,11.05,5.07,82.0,1.47
PI_659694,67.0,46.0,4.08,N,15.0,48.3,724.5,39.0,5.7,10.0,120.0,55.9,6.0,0.33,22.97,13.32,22.97,8.79,2.06,36.33,1.5
PI_564163,56.0,31.4,4.11,N,18.0,42.1,757.8,35.0,4.2,11.0,100.0,80.6,8.9,0.33,23.92,11.74,27.4,6.81,2.57,55.67,2.5
PI_655998,57.0,57.7,5.13,N,13.0,37.7,490.1,48.3,4.2,11.0,62.0,61.0,8.2,0.67,24.65,10.94,26.5,7.0,2.35,82.0,2.97
PI_576337,63.0,41.3,3.23,Y,29.0,,,32.5,3.0,9.0,110.0,65.6,4.4,4.0,19.38,8.52,32.1,5.95,2.03,42.33,2.4
PI_597961,58.0,44.5,5.79,N,,44.8,,30.5,4.4,7.0,62.0,67.6,6.6,0.67,19.56,11.69,19.4,7.68,2.88,72.0,1.2
PI_597950,55.0,45.4,4.51,N,23.0,8.3,190.9,29.5,4.6,9.0,143.0,43.2,6.3,0.67,17.08,8.82,9.43,6.11,3.76,53.0,2.17
PI_534099,63.0,41.4,4.67,N,27.0,36.6,988.2,46.0,6.7,15.0,76.0,73.9,8.1,1.67,23.4,12.51,16.83,7.33,3.35,66.33,1.73
PI_576394,63.0,66.5,2.96,N,14.0,54.1,757.4,29.0,4.5,10.0,72.0,55.6,7.3,1.0,23.59,11.73,20.67,6.85,2.92,42.0,3.2
PI_564163,59.0,31.4,2.68,N,18.0,39.8,716.4,34.8,3.7,11.0,102.0,73.7,6.8,0.33,18.72,9.06,28.2,5.87,1.97,55.67,2.37
PI_534148,64.0,51.5,3.52,N,16.0,31.6,505.6,47.0,5.0,13.0,113.0,65.0,6.8,1.0,26.5,13.67,26.7,8.27,3.39,61.33,2.47
PI_533948,60.0,36.6,4.71,N,18.0,44.4,799.2,28.0,2.8,11.0,76.0,63.9,7.0,0.67,20.09,10.92,20.57,5.43,2.98,53.33,2.63
PI_564163,61.0,28.1,6.43,N,12.0,63.2,758.4000000000001,34.5,4.5,10.0,113.0,64.6,7.0,0.0,22.7,11.01,27.8,7.27,2.5,61.0,1.97
PI_564163,56.0,37.4,2.39,N,20.0,,,41.0,4.8,12.0,102.0,78.7,7.2,0.67,22.82,12.24,31.43,7.84,2.77,57.33,2.67
PI_533967,67.0,57.9,8.67,N,14.0,27.0,378.0,37.0,7.0,15.0,73.0,55.4,6.4,2.33,25.06,9.46,15.9,5.66,3.02,54.33,1.47
PI_656036,71.0,52.5,5.98,Y,17.0,61.3,1042.1,33.0,5.0,12.0,196.0,65.0,7.5,0.33,22.04,11.44,21.4,8.5,2.72,65.67,2.07
PI_533877,,,,Y,,,,,,,,,,,,,,,,,
PI_656013,63.0,30.9,4.37,Y,6.0,,,34.3,7.5,11.0,162.0,60.0,9.0,0.0,21.33,14.84,12.73,11.33,4.5,63.33,1.23
PI_534037,62.0,69.4,2.4,N,32.0,9.1,291.2,42.0,4.6,5.0,121.0,54.0,4.5,3.67,17.46,9.74,13.6,6.01,1.57,43.67,2.17
PI_534145,56.0,64.8,7.69,N,37.0,23.2,858.4,46.5,4.5,6.0,75.0,68.0,6.5,2.67,17.16,7.52,37.57,4.63,1.38,36.0,1.7000000000000002
PI_655971,61.0,38.7,4.64,N,23.0,41.1,945.3,37.0,3.3,9.0,110.0,66.5,6.0,2.33,18.72,11.02,12.1,7.15,3.14,73.33,0.83
PI_656026,71.0,47.6,3.82,N,7.0,,,42.0,8.1,13.0,115.0,74.0,9.5,0.67,31.55,14.94,19.1,10.73,3.13,64.0,2.1
PI_656104,62.0,41.8,5.76,N,29.0,17.7,513.3,35.0,3.6,9.0,113.0,48.0,4.0,0.33,13.26,7.14,14.87,4.82,2.37,80.0,1.43
PI_656090,62.0,67.4,5.57,N,30.0,30.5,915.0,39.5,4.7,10.0,183.0,55.0,5.6,1.0,15.81,6.53,21.73,4.01,1.1400000000000001,53.67,1.77
PI_656016,63.0,41.7,3.12,N,16.0,25.6,409.6,36.2,3.9,11.0,83.0,61.5,7.5,0.33,24.57,11.85,29.4,7.56,2.69,40.0,1.97
PI_533800,67.0,39.0,4.96,N,16.0,52.7,843.2,55.2,4.9,12.0,115.0,71.0,7.0,0.67,22.78,10.31,16.57,6.18,2.29,57.0,1.37
PI_595739,67.0,35.5,1.85,N,13.0,48.7,633.1,35.3,6.0,14.0,90.0,71.5,8.0,1.0,29.34,12.39,17.73,10.24,3.46,63.33,2.1
PI_656072,76.0,38.4,4.09,N,15.0,61.4,921.0,57.8,6.6,15.0,95.0,75.0,8.5,0.67,30.66,16.39,11.87,9.97,3.57,73.0,3.17
PI_597976,62.0,62.3,4.55,N,33.0,29.8,983.4,54.3,4.6,10.0,190.0,71.0,6.0,1.33,21.01,9.08,30.43,5.59,1.51,47.33,1.87
PI_533936,65.0,41.6,5.88,N,15.0,13.6,204.0,,,,,,,,,,,,,,
PI_656061,67.0,46.8,3.86,N,14.0,28.4,397.6,27.0,4.0,13.0,99.0,59.9,5.8,0.0,20.99,8.92,15.13,6.82,3.39,50.0,1.4
PI_656048,64.0,48.2,5.36,N,12.0,54.0,648.0,29.0,4.1,11.0,129.0,66.6,9.4,0.33,22.68,10.19,24.2,6.79,2.14,51.0,0.73
PI_659693,50.0,45.1,7.08,N,12.0,,,20.0,3.0,8.0,46.0,56.9,9.7,0.67,22.36,10.61,15.53,7.97,2.98,48.33,3.7
PI_656077,55.0,60.0,4.63,N,28.0,23.7,663.6,44.5,5.6,11.0,150.0,64.8,4.3,0.33,18.39,10.44,19.13,6.63,2.73,59.67,3.1
PI_597964,66.0,31.7,7.55,N,16.0,47.0,752.0,38.5,7.1,12.0,102.0,71.6,8.9,0.33,24.53,11.61,21.13,8.36,2.72,62.67,1.7000000000000002
PI_656088,63.0,40.2,8.06,N,17.0,36.0,612.0,33.0,4.1,12.0,179.0,59.4,7.3,0.33,19.14,10.37,22.17,5.81,2.92,46.0,2.6
PI_595741,56.0,38.9,6.83,N,32.0,21.2,678.4,40.5,3.5,9.0,90.0,66.3,5.4,1.33,16.82,7.13,34.4,4.93,1.78,80.67,3.5
PI_533852,63.0,71.6,,Y,5.0,,,30.0,5.0,11.0,72.0,52.7,8.6,0.0,27.46,14.24,10.33,10.29,4.5600000000000005,63.33,1.23
PI_564163,58.0,38.2,2.57,N,21.0,63.7,1337.7,49.0,5.2,13.0,108.0,82.7,9.4,0.33,23.91,11.62,30.77,7.94,2.25,63.33,2.4
PI_533841,64.0,56.6,6.64,N,22.0,45.1,992.2,36.0,4.1,13.0,82.0,75.2,8.6,0.67,17.56,7.12,29.4,6.9,2.09,74.67,1.23
PI_656053,66.0,55.2,9.41,N,19.0,50.8,965.2,58.0,6.3,15.0,67.0,82.4,9.6,0.67,23.8,10.82,23.9,6.76,2.23,46.67,2.5
PI_533996,59.0,36.9,2.0,N,17.0,38.9,661.3,29.0,4.6,11.0,79.0,46.0,5.4,0.67,25.24,11.46,18.93,8.57,2.8,60.0,1.67
PI_533855,63.0,32.3,6.84,N,25.0,29.0,725.0,33.0,5.8,7.0,162.0,59.3,6.7,0.67,19.3,7.87,11.8,5.0,3.64,27.0,3.93
PI_656024,71.0,34.0,6.85,N,10.0,53.6,536.0,46.0,5.6,14.0,170.0,69.8,6.7,1.0,28.75,13.29,22.87,9.51,2.57,82.33,1.87
PI_533754,56.0,56.2,5.13,N,19.0,14.6,277.4,32.8,3.6,9.0,92.0,64.0,7.0,1.33,23.93,9.94,22.3,7.37,2.86,65.33,1.83
PI_641874,63.0,45.1,15.35,N,16.0,34.9,558.4,37.0,4.3,11.0,72.0,87.5,6.5,0.33,27.86,13.63,13.4,11.29,4.38,54.33,1.17
PI_656074,63.0,37.1,4.27,N,28.0,19.0,532.0,40.0,4.5,9.0,262.0,55.0,6.0,1.67,15.94,7.37,24.6,4.94,2.35,28.0,2.3
PI_576332,66.0,43.9,10.64,N,6.0,,,33.8,4.9,11.0,100.0,65.0,6.0,1.0,22.05,9.83,28.87,6.52,2.16,72.0,1.37
PI_656062,71.0,31.4,3.1,Y,8.0,,,59.5,7.5,13.0,113.0,73.0,7.0,3.0,28.23,11.97,27.5,9.03,2.42,60.0,2.3
PI_656106,64.0,45.2,8.04,N,19.0,38.2,725.8,47.0,6.6,9.0,112.0,62.0,8.5,0.33,19.34,9.06,15.03,6.56,4.53,43.67,2.27
PI_656008,65.0,38.1,5.44,N,12.0,135.9,1630.8000000000002,35.6,5.3,11.0,127.0,46.5,3.5,1.33,26.28,14.58,33.1,10.07,2.0,73.33,2.0
PI_656114,63.0,50.3,6.44,N,11.0,,,27.5,5.4,8.0,73.0,56.0,8.0,0.33,26.39,10.39,29.63,6.52,2.92,61.67,2.73
PI_576349,62.0,42.0,7.54,N,43.0,3.4,146.2,42.7,3.8,10.0,93.0,74.0,5.0,6.0,17.95,6.82,33.5,3.96,1.48,28.0,8.3
PI_656030,49.0,39.8,5.33,N,18.0,23.0,414.0,51.3,6.1,10.0,92.0,54.0,6.8,0.0,17.58,10.9,15.53,7.9,1.45,46.67,1.5
PI_533956,63.0,54.9,1.71,N,34.0,38.9,1322.6,35.3,5.0,8.0,95.0,68.0,7.0,3.67,22.5,10.26,16.6,5.61,2.74,42.0,3.33
PI_533789,67.0,45.8,5.23,N,26.0,66.5,1729.0,53.0,4.7,10.0,78.0,75.5,7.0,1.67,28.33,9.45,32.1,6.14,1.91,50.67,3.33
PI_533766,59.0,44.95,12.02,N,19.0,17.8,338.2,33.2,3.0,16.0,83.0,54.5,7.0,2.0,19.54,7.77,32.23,5.14,1.5,67.67,1.53
