,DaysToBloom,MedianLeafAngle,LeafAngleSDV,PoorStand?,PaniclesPerPlot,PanicleGrainWeight,EstimatedPlotYield,FlagLeafLength,FlagLeafWidth,ExtantLeafNumber,PlantHeight,ThirdLeafLength,ThirdLeafWidth,TillersPerPlant,StemDiameterLower,StemDiameterUpper,RachisLength,RachisDiameterLower,RachisDiameterUpper,PrimaryBranchNo,BranchInternodeLength
PI_597972,63.0,52.4,10.74,N,15.0,42.9,643.5,46.0,4.5,13.0,110.0,71.0,6.5,0.33,24.69,11.44,23.77,6.39,1.65,93.0,2.13
PI_656039,75.0,33.4,3.96,N,10.0,28.4,284.0,37.7,7.5,15.0,113.0,55.5,6.0,0.0,21.66,9.96,25.83,6.1,1.33,52.33,1.2
PI_642793,64.0,44.2,7.76,N,14.0,35.6,498.4,32.0,6.0,12.0,86.0,55.0,6.0,0.0,20.14,10.2,22.87,6.37,1.83,47.0,1.23
PI_655978,71.0,40.0,1.4,Y,9.0,,,51.1,4.7,13.0,90.0,73.0,6.5,2.0,30.14,12.3,23.9,8.62,3.34,71.0,1.9500000000000002
PI_534127,64.0,42.0,8.67,N,24.0,7.8,187.2,38.0,4.1,12.0,92.0,58.0,5.5,0.0,19.1,7.46,18.27,3.94,1.73,47.33,1.9300000000000002
PI_534148,71.0,40.8,3.32,N,12.0,31.0,372.0,48.0,5.2,13.0,100.0,63.5,5.2,1.0,29.25,10.57,20.8,7.38,3.62,57.67,2.77
PI_656074,68.0,33.8,2.5,N,21.0,15.0,315.0,40.7,4.4,10.0,270.0,58.0,6.5,1.0,17.9,6.74,21.93,4.21,1.9500000000000002,27.33,2.27
PI_597966,62.0,44.4,8.78,N,11.0,49.0,539.0,43.3,6.2,11.0,75.0,,,1.0,23.82,12.29,10.77,9.38,6.74,63.33,2.2
PI_548797,75.0,41.8,8.47,N,9.0,29.4,264.59999999999997,55.0,6.4,14.0,90.0,,,0.0,27.3,12.88,26.0,8.85,1.82,59.67,1.47
PI_656036,76.0,35.6,7.32,N,8.0,29.6,236.8,46.9,6.1,14.0,172.0,,,0.0,17.76,8.5,18.83,5.47,1.31,57.0,1.0
PI_597946,59.0,38.2,4.94,N,18.0,16.4,295.2,31.5,2.7,,,,,2.0,19.44,8.13,19.73,6.81,3.56,43.67,3.0
PI_659695,71.0,43.2,7.06,N,16.0,9.5,152.0,52.3,5.3,12.0,82.0,65.9,6.8,0.0,24.14,10.86,21.23,7.31,2.38,57.67,2.17
PI_576350,56.0,35.2,7.2,Y,18.0,1.8,32.4,34.0,3.0,7.0,103.0,64.0,3.9,3.0,11.96,5.38,27.6,3.56,1.31,81.5,2.45
PI_656008,75.0,38.9,5.79,Y,4.0,,,52.0,9.5,13.0,136.0,65.8,9.7,0.33,24.37,12.62,29.3,8.38,1.55,68.33,1.9300000000000002
PI_533998,71.0,43.3,5.64,N,9.0,6.4,57.6,36.5,3.3,11.0,92.0,65.3,6.6,0.5,23.66,8.38,1.6,5.41,3.8,17.0,3.85
PI_656031,72.0,36.85,3.86,N,11.0,34.3,377.29999999999995,36.0,6.0,14.0,118.0,,,3.33,21.11,9.19,22.7,5.68,1.51,57.0,1.7000000000000002
PI_656011,75.0,37.2,3.32,N,14.0,59.2,828.8,53.8,5.9,14.0,120.0,,,0.33,27.03,11.38,24.77,7.72,1.79,54.0,1.57
